train_28872, primary, artisinal_mine partly_cloudy primary water
train_2472, clear primary, agriculture clear habitation primary road
train_25874, clear primary, artisinal_mine clear primary water
train_280, blooming clear primary, partly_cloudy primary
train_25051, clear primary, artisinal_mine clear primary water
train_3452, clear primary, haze primary
train_355, blooming clear primary, clear primary
train_3922, clear primary, cloudy
train_1141, clear primary, clear primary water
train_2765, clear primary, agriculture clear cultivation habitation primary road
train_1216, clear primary, clear primary water
train_39391, clear primary, agriculture bare_ground clear cultivation primary slash_burn
train_3932, cloudy, cloudy
train_362, clear primary, clear primary water
train_11246, clear primary, bare_ground clear
train_2060, clear primary, agriculture clear cultivation habitation primary water
train_725, clear primary, agriculture habitation partly_cloudy primary
train_30337, clear primary, blooming clear primary
train_1129, clear primary, agriculture cultivation partly_cloudy primary road
train_223, blooming blow_down clear primary, clear primary
train_319, primary, bare_ground clear road
train_1195, clear primary, agriculture clear habitation primary road
train_24746, primary, artisinal_mine haze primary water
train_721, partly_cloudy primary water, agriculture partly_cloudy primary road
train_4026, cloudy, cloudy
train_253, clear primary, agriculture clear habitation primary road
train_26095, clear primary, artisinal_mine clear primary water
train_247, blooming clear primary, agriculture clear cultivation habitation primary road selective_logging
train_4809, cloudy, cloudy
train_24776, clear primary, artisinal_mine clear primary water
train_27711, blooming clear primary, clear primary selective_logging
train_4116, cloudy, cloudy
train_30867, clear primary, artisinal_mine clear primary water
train_3263, primary, haze primary
train_263, blooming blow_down clear primary, agriculture clear primary
train_2213, clear primary, agriculture clear cultivation primary road
train_4758, cloudy, cloudy
train_2071, blooming clear primary, agriculture clear cultivation primary
train_28418, blooming clear primary, clear primary road selective_logging
train_2217, blooming clear primary, agriculture clear cultivation primary
train_1034, clear primary, agriculture clear cultivation primary road
train_24483, blooming blow_down clear cultivation primary selective_logging, clear primary road selective_logging
train_3630, clear primary, haze primary
train_1117, blooming clear primary, agriculture clear cultivation primary road water
train_876, clear primary, agriculture clear cultivation primary
train_264, clear primary, clear primary
train_715, clear primary, agriculture partly_cloudy primary road water
train_25199, clear primary, artisinal_mine clear primary water
train_2881, clear primary, agriculture habitation partly_cloudy primary
train_826, primary, agriculture partly_cloudy primary road
train_3835, clear primary, cloudy
train_2073, blooming clear primary, agriculture clear cultivation primary
train_258, clear primary, clear habitation primary road
train_2270, clear primary, clear cultivation habitation primary road
train_335, clear primary, clear primary
train_27228, clear primary, clear primary selective_logging
train_303, blooming blow_down clear primary, agriculture clear primary
train_370, clear primary, agriculture clear habitation primary road
train_1066, clear primary, agriculture clear cultivation primary water
train_4470, cloudy, cloudy
train_12139, clear primary, bare_ground clear primary road water
train_2130, clear primary, agriculture clear cultivation primary road
train_4359, cloudy, cloudy
train_25641, blooming clear primary, clear primary road selective_logging
train_233, clear primary, clear primary water
train_1112, clear primary, agriculture clear habitation primary water
train_2523, clear primary, agriculture clear habitation primary road
train_1328, clear primary, agriculture partly_cloudy primary road
train_38931, clear primary, clear primary slash_burn water
train_2667, clear primary, agriculture artisinal_mine clear cultivation habitation primary road water
train_749, clear primary, agriculture clear primary road
train_26909, clear primary, clear cultivation primary road selective_logging
train_1436, clear primary, artisinal_mine clear primary water
train_12127, blooming blow_down clear cultivation primary selective_logging, bare_ground clear primary
train_2999, clear primary, agriculture clear habitation primary road
train_26808, clear primary, agriculture artisinal_mine clear cultivation primary water
train_1136, clear primary, clear primary road water
train_4394, cloudy, cloudy
train_29605, blooming clear primary, blooming clear primary
train_29222, blooming blow_down clear cultivation primary selective_logging, blooming partly_cloudy primary
train_11061, clear primary, bare_ground clear primary road water
train_27484, clear primary, artisinal_mine clear primary water
train_1206, clear primary, clear habitation primary road water
train_4766, cloudy, cloudy
train_28821, blooming clear primary, blooming clear primary
train_2278, clear primary, clear cultivation primary water
train_3445, clear primary, agriculture haze water
train_240, clear primary, agriculture clear primary road
train_4587, cloudy, cloudy
train_1225, partly_cloudy primary, partly_cloudy primary
train_696, blooming clear primary, agriculture clear cultivation primary road selective_logging
train_25123, blooming clear primary, blooming partly_cloudy primary selective_logging
train_32077, blooming clear primary, blooming clear primary
train_1090, clear primary, agriculture clear primary water
train_843, clear primary, agriculture clear primary road
train_31496, blooming clear primary, blooming clear primary
train_275, clear primary, clear primary
train_4656, primary, cloudy
train_2484, clear primary, cultivation habitation partly_cloudy primary road
train_830, clear primary, agriculture clear primary
train_26020, clear primary, clear primary road selective_logging
train_2672, clear primary, clear cultivation habitation primary road water
train_1208, clear primary, clear primary water
train_1210, primary, partly_cloudy primary
train_2928, clear primary, clear habitation primary road water
train_28782, clear primary, artisinal_mine clear primary water
train_2449, clear primary, agriculture clear cultivation primary road
train_3684, cloudy, cloudy
train_10886, clear primary, bare_ground cultivation partly_cloudy primary
train_3561, clear primary, haze water
train_11783, primary, bare_ground clear primary
train_271, blooming blow_down clear primary, clear primary
train_890, blooming clear primary, agriculture clear primary
train_1376, clear primary, agriculture partly_cloudy primary road
train_1357, blooming clear primary, partly_cloudy primary
train_228, cloudy, agriculture haze primary road water
train_2052, clear primary, agriculture clear cultivation habitation primary
train_266, blooming clear primary, clear cultivation habitation primary
train_267, blooming clear primary, partly_cloudy primary
train_3760, cloudy, cloudy
train_1404, clear primary, partly_cloudy primary
train_996, clear primary, partly_cloudy primary road
train_272, clear primary, agriculture clear primary road
train_1370, clear primary, partly_cloudy primary
train_688, cloudy, agriculture haze primary road
train_238, blooming clear primary, clear primary
train_29289, blooming clear primary, clear primary road selective_logging
train_292, clear primary, agriculture partly_cloudy primary
train_991, blooming clear primary, agriculture clear primary road
train_2454, clear primary, agriculture clear cultivation habitation primary road
train_11897, clear primary, agriculture bare_ground partly_cloudy primary road
train_279, blooming clear primary, clear cultivation primary
train_2665, blooming clear primary, agriculture clear habitation primary water
train_29267, clear primary, clear primary selective_logging
train_29683, blooming clear primary, clear primary road selective_logging
train_12718, clear primary, bare_ground clear primary water
train_28611, blooming clear primary, clear primary road selective_logging
train_1184, clear primary, agriculture haze primary water
train_348, clear primary, clear primary
train_2829, blooming clear primary, agriculture clear cultivation habitation primary
train_311, clear primary, agriculture clear habitation primary road
train_2246, clear primary, agriculture clear habitation primary road
train_26714, blooming clear primary, agriculture blooming clear cultivation primary slash_burn
train_1065, clear primary, partly_cloudy primary water
train_1254, clear primary, agriculture clear primary road water
train_239, clear primary, bare_ground clear primary water
train_3532, primary, agriculture habitation haze primary road
train_2972, clear primary, clear cultivation habitation primary road
train_982, clear primary, agriculture clear habitation primary road
train_780, blooming clear primary, agriculture clear cultivation primary
train_2783, clear primary, agriculture clear habitation primary road
train_2254, primary, agriculture cultivation haze primary road
train_10838, clear primary, bare_ground clear cultivation primary
train_27192, blooming clear primary, blooming clear primary
train_11098, clear primary, agriculture bare_ground clear primary
train_31625, clear primary, clear primary selective_logging
train_736, clear primary, agriculture clear cultivation habitation primary road
train_29281, blooming clear primary, blooming clear primary
train_3229, clear primary, haze primary
train_27581, clear primary, blooming clear primary
train_11866, clear primary, bare_ground clear primary
train_1235, clear primary, agriculture clear habitation primary road
train_1249, clear primary, agriculture partly_cloudy primary road
train_12450, clear primary, bare_ground clear primary
train_2183, clear primary, clear cultivation primary water
train_716, clear primary, agriculture partly_cloudy primary
train_4723, cloudy primary, cloudy
train_2306, clear primary, clear habitation water
train_12706, clear primary, bare_ground clear conventional_mine primary road
train_1291, partly_cloudy primary, partly_cloudy primary
train_29757, blooming clear primary, blooming clear primary
train_1300, clear primary, partly_cloudy primary water
train_4349, cloudy, cloudy
train_4013, cloudy, cloudy
train_26232, blooming clear primary, blooming clear primary
train_2252, blooming clear primary, agriculture clear cultivation primary selective_logging
train_25290, clear primary, clear primary road selective_logging
train_249, clear primary, partly_cloudy primary
train_2095, clear primary, clear cultivation primary
train_3394, clear primary, haze primary
train_356, blooming blow_down clear primary, clear primary
train_262, clear primary, clear cultivation primary
train_12314, clear primary, bare_ground clear primary
train_1191, clear primary, agriculture clear primary road
train_3071, clear primary, haze primary
train_2309, clear primary, agriculture clear habitation primary road
train_875, clear primary, agriculture clear primary road
train_12022, clear primary, bare_ground clear primary water
train_11815, clear primary, agriculture bare_ground haze primary road
train_2614, clear primary, agriculture clear cultivation habitation primary road
train_38594, blooming clear primary, agriculture clear habitation primary slash_burn
train_376, blooming clear primary, clear primary
train_3975, cloudy, cloudy
train_27590, blooming clear primary, clear primary selective_logging
train_3066, clear primary, agriculture haze primary water
train_30474, blooming blow_down clear primary, clear primary road selective_logging
train_3610, cloudy, haze primary
train_2083, primary, agriculture cultivation habitation partly_cloudy primary road
train_30443, blooming clear primary, blooming clear primary
train_1241, clear primary, agriculture clear primary road
train_30494, blooming clear primary, blooming clear primary
train_2524, clear primary, agriculture clear habitation primary road
train_1073, clear primary, agriculture partly_cloudy primary road
train_2319, clear primary, agriculture clear cultivation primary road
train_3857, cloudy primary, cloudy
train_2112, clear primary, agriculture clear cultivation habitation primary road
train_2310, blooming clear primary, clear habitation primary
train_28109, blooming blow_down clear primary, clear primary selective_logging
train_40446, blooming clear primary, clear primary slash_burn water
train_236, blooming clear primary, clear primary
train_3258, cloudy, haze primary
train_372, blooming clear primary, clear primary
train_2517, clear primary, agriculture clear cultivation primary road
train_10858, clear primary, bare_ground clear primary
train_2754, blooming clear primary, clear cultivation habitation primary water
train_1181, blooming clear primary, clear primary road selective_logging
train_4476, clear primary, cloudy
train_286, clear primary, agriculture artisinal_mine clear primary water
train_26332, blooming clear primary, blooming clear primary
train_12185, clear primary, bare_ground clear primary water
train_1340, clear primary, agriculture artisinal_mine clear cultivation habitation primary water
train_288, clear primary, clear primary water
train_977, clear primary, agriculture clear habitation primary road water
train_2238, clear primary, agriculture clear cultivation primary slash_burn
train_1162, blooming clear primary, partly_cloudy primary water
train_3232, primary, agriculture cultivation haze primary
train_2087, clear primary, agriculture clear cultivation primary
train_283, clear primary, partly_cloudy primary water
train_276, blooming clear primary, partly_cloudy primary
train_28878, blooming clear primary, blooming clear primary
train_2496, clear primary, agriculture clear cultivation primary water
train_26748, blooming blow_down clear primary selective_logging, clear primary selective_logging
train_1305, primary, agriculture partly_cloudy primary road
train_2338, clear primary, agriculture clear cultivation habitation primary water
train_336, blooming clear primary, clear primary
train_293, blooming clear primary, clear primary water
train_31420, clear primary, artisinal_mine clear primary water
train_4414, cloudy, cloudy
train_354, clear primary, clear primary
train_1178, clear primary, agriculture clear habitation primary road
train_29576, blooming clear primary, blooming clear primary
train_12054, clear primary, bare_ground clear road
train_1091, clear primary, agriculture clear habitation primary road
train_1046, clear primary, agriculture clear habitation primary road
train_30024, primary, artisinal_mine partly_cloudy primary water
train_357, blooming clear primary, clear primary
train_3930, primary, cloudy
train_30072, clear primary, blooming clear primary
train_10432, clear primary, bare_ground clear
train_1480, blooming clear primary, clear primary water
train_4293, cloudy, cloudy
train_27504, clear primary, artisinal_mine clear primary water
train_831, clear primary, agriculture clear primary
train_1123, clear primary, clear habitation primary road
train_364, clear primary, clear primary
train_366, blooming clear primary, clear primary water
train_294, clear primary, clear primary road
train_38995, clear primary, agriculture clear cultivation primary slash_burn
train_29778, clear primary, artisinal_mine clear primary
train_1344, cloudy, partly_cloudy primary
train_2335, clear primary, agriculture clear cultivation habitation primary
train_261, blooming clear primary, agriculture clear primary
train_767, clear primary, agriculture clear primary road
train_3065, clear primary, agriculture cultivation habitation partly_cloudy primary road
train_1106, clear primary, agriculture clear habitation primary road
train_27694, clear primary, clear primary road selective_logging
train_1284, primary, partly_cloudy primary
train_30545, blooming blow_down clear primary, clear primary selective_logging
train_4051, cloudy, cloudy
train_1350, clear primary, partly_cloudy primary
train_1019, clear primary, agriculture clear habitation primary road
train_10525, clear primary, agriculture bare_ground clear road
train_2780, blooming clear primary, agriculture clear cultivation habitation primary
train_3613, clear primary, cloudy
train_2606, blooming clear primary, agriculture clear habitation primary water
train_27457, clear primary, artisinal_mine clear primary water
train_3054, clear primary, agriculture clear cultivation habitation primary road
train_10992, clear primary, bare_ground clear primary
train_3305, clear primary, haze primary
train_2090, blooming clear primary, agriculture clear cultivation primary
train_769, clear primary, agriculture habitation partly_cloudy primary
train_2248, clear primary, agriculture clear habitation primary road
train_1388, clear primary, agriculture clear primary road water
train_2201, clear primary, agriculture clear cultivation habitation primary road
train_30887, blooming clear primary, blooming clear primary
train_29914, blooming clear primary, blooming partly_cloudy primary
train_3208, primary, haze primary
train_2995, clear primary, habitation partly_cloudy primary water
train_314, clear primary, agriculture clear primary road
train_1364, clear primary, agriculture clear cultivation primary water
train_1233, cloudy, agriculture partly_cloudy primary
train_2299, clear primary, agriculture clear cultivation habitation primary
train_28663, blooming clear primary, agriculture blooming clear cultivation primary
train_29152, blooming clear primary, clear primary selective_logging
train_3228, clear primary, habitation haze primary water
train_1188, clear primary, agriculture clear cultivation primary road
train_29669, primary, artisinal_mine clear water
train_27980, clear primary, artisinal_mine partly_cloudy primary road water
train_1417, clear primary, clear primary water
train_326, clear primary, agriculture clear primary
train_4094, cloudy, cloudy
train_2207, clear primary, agriculture clear cultivation primary
train_2480, clear primary, agriculture cultivation partly_cloudy primary
train_25906, clear primary, blooming clear primary
train_28380, clear primary, blooming clear primary
train_265, clear primary, partly_cloudy primary
train_375, blooming clear primary, clear primary
train_813, clear primary, agriculture clear primary
train_1011, blooming blow_down clear cultivation primary selective_logging, clear primary road water
train_1289, clear primary, clear primary water
train_3321, clear primary, haze primary
train_10976, clear primary, bare_ground habitation partly_cloudy primary
train_11938, clear primary, bare_ground clear primary
train_12762, blooming clear primary, bare_ground partly_cloudy primary water
train_2986, clear primary, agriculture clear cultivation habitation primary water
train_1196, clear primary, clear water
train_2059, clear primary, agriculture clear cultivation primary
train_1078, clear primary, partly_cloudy primary
train_1393, clear primary, agriculture clear primary road water
train_29725, blooming clear primary, agriculture clear cultivation primary selective_logging
train_1288, blooming clear primary, clear primary water
train_750, primary, agriculture clear primary water
train_1041, clear primary, agriculture habitation partly_cloudy primary road
train_1139, primary, agriculture partly_cloudy primary
train_744, clear primary, agriculture clear habitation primary road
train_25675, blooming clear primary, clear primary road selective_logging
train_1382, clear primary, partly_cloudy primary
train_2467, blooming clear primary, agriculture cultivation partly_cloudy primary road
train_10654, blooming clear primary, bare_ground clear primary
train_1170, clear primary, clear habitation primary road
train_30706, blooming clear primary, blooming clear primary
train_811, clear primary, agriculture clear habitation primary
train_313, clear primary, clear primary water
train_793, clear primary, agriculture clear primary road
train_329, blooming clear primary, clear primary road water
train_25328, primary, artisinal_mine clear primary water
train_243, blooming clear primary, clear primary
train_1097, blooming clear primary, clear primary water
train_25045, clear primary, agriculture artisinal_mine clear primary road water
train_3240, primary, haze primary
train_25334, clear primary, clear primary road selective_logging
train_2074, blooming clear primary, agriculture clear cultivation primary
train_251, blooming blow_down clear primary, clear primary
train_27009, clear primary, artisinal_mine clear primary
train_814, clear primary, agriculture clear habitation primary road
train_282, primary, partly_cloudy primary
train_255, clear primary, agriculture clear habitation primary road
train_690, primary, agriculture haze primary road
train_2276, clear primary, agriculture clear cultivation habitation primary water
train_2157, clear primary, clear cultivation primary
train_1144, clear primary, agriculture clear primary road
train_12174, clear primary, bare_ground blooming clear cultivation primary
train_300, blooming clear primary, clear primary
train_1474, blooming clear primary, agriculture partly_cloudy primary road
train_879, primary, agriculture haze primary
train_1009, clear primary, agriculture clear primary road
train_10197, clear primary, bare_ground clear
train_11035, clear primary, artisinal_mine bare_ground clear primary road water
train_3250, clear primary, agriculture haze primary water
train_25257, clear primary, artisinal_mine bare_ground clear habitation primary road water
train_3179, clear primary, haze primary
train_4292, primary, cloudy
train_252, blooming clear primary, clear habitation primary
train_24882, clear primary, haze primary selective_logging
train_3007, clear primary, haze primary water
train_2663, clear primary, agriculture clear cultivation habitation primary road
train_988, primary, agriculture partly_cloudy primary road
train_1077, clear primary, habitation partly_cloudy primary road
train_11796, clear primary, bare_ground clear primary
train_25785, clear primary, blooming clear primary
train_270, clear primary, agriculture clear primary road
train_12225, clear primary, bare_ground clear primary selective_logging water
train_867, clear primary, agriculture clear habitation primary road
train_4592, cloudy, cloudy
train_235, blooming clear primary, clear primary
train_29975, blooming clear primary, blooming clear primary
train_2244, clear primary, agriculture clear cultivation habitation primary road
train_24464, blooming clear primary, clear primary selective_logging
train_31330, clear primary, artisinal_mine clear primary water
train_3995, primary, cloudy
train_2633, agriculture clear primary, clear habitation primary water
train_224, clear primary, agriculture clear primary
train_10704, clear primary, bare_ground clear primary road
train_25837, blooming clear primary, clear primary selective_logging
train_2325, clear primary, agriculture clear cultivation habitation primary water
train_1368, blooming clear primary, partly_cloudy primary
train_722, clear primary, agriculture clear primary road water
train_31275, blooming clear primary, clear primary selective_logging water
train_31540, blooming clear primary, clear primary selective_logging
train_1207, clear primary, agriculture partly_cloudy primary road water
train_733, clear primary, agriculture clear primary road
train_1081, primary, partly_cloudy water
train_3837, cloudy, cloudy
train_242, blooming clear primary, clear primary
train_882, clear primary, agriculture partly_cloudy primary
train_232, blooming clear primary, clear primary
train_11870, clear primary, agriculture bare_ground clear cultivation primary road
train_809, clear primary, agriculture clear cultivation habitation primary road
train_10429, clear primary, bare_ground clear cultivation primary
train_3379, clear primary, haze primary
train_1337, clear primary, clear primary selective_logging water
train_1087, clear primary, agriculture clear primary road slash_burn
train_2973, clear primary, agriculture clear habitation primary road
train_29779, primary, artisinal_mine clear primary water
train_11933, clear primary, agriculture bare_ground clear habitation primary road
train_1250, primary, partly_cloudy primary
train_29459, blooming clear primary, blooming clear primary
train_3951, clear primary, cloudy
train_1099, clear primary, clear primary water
train_11543, clear primary, bare_ground clear habitation primary water
train_3543, cloudy, agriculture haze primary water
train_25744, clear primary, blooming clear primary
train_30719, clear primary, artisinal_mine clear primary water
train_3077, clear primary, haze primary
train_344, blooming clear primary, clear primary
train_1234, clear primary, agriculture clear cultivation habitation primary road
train_1244, agriculture clear primary, clear primary water
train_3463, primary, agriculture haze road
train_28509, primary, artisinal_mine clear primary water
train_28973, clear primary, artisinal_mine clear conventional_mine primary road water
train_872, clear primary, agriculture clear primary road water
train_1131, clear primary, partly_cloudy primary
train_3815, cloudy, cloudy
train_3397, primary, haze primary
train_1186, clear primary, partly_cloudy primary
train_728, clear primary, agriculture clear cultivation habitation primary road slash_burn
train_3365, clear primary, haze primary
train_30837, clear primary, artisinal_mine clear primary water
train_3501, clear primary, habitation haze primary water
train_2469, primary, agriculture cultivation partly_cloudy primary
train_25836, blooming clear primary, clear primary selective_logging
train_1102, clear primary, agriculture clear habitation primary road
train_720, blooming blow_down clear cultivation primary selective_logging, agriculture clear cultivation habitation primary
train_883, clear primary, agriculture clear primary
train_2497, clear primary, agriculture cultivation partly_cloudy primary road
train_1290, blooming clear primary, clear primary water
train_29941, clear primary, artisinal_mine clear habitation primary road water
train_3534, clear primary, haze primary
train_318, blooming clear primary, clear primary
train_27257, clear primary, clear primary selective_logging
train_29265, blooming clear primary, clear primary selective_logging
train_2502, blooming clear primary, agriculture clear cultivation primary slash_burn
train_29228, blooming clear primary, agriculture blooming clear primary
train_369, blooming clear primary, agriculture clear cultivation habitation primary
train_1135, blooming blow_down clear cultivation primary selective_logging, clear primary water
train_27487, blooming blow_down clear primary, blooming clear primary
train_30267, clear primary, agriculture artisinal_mine partly_cloudy primary water
train_857, clear primary, agriculture clear primary
train_4003, clear primary, cloudy
train_345, blooming clear primary, agriculture clear primary
train_2322, clear primary, agriculture clear cultivation primary water
train_10474, primary, bare_ground haze primary water
train_11772, clear primary, bare_ground clear habitation primary road
train_227, clear primary, agriculture clear cultivation primary
train_26361, blooming blow_down clear cultivation primary selective_logging, blooming clear primary
