train_28872, artisinal_mine bare_ground clear conventional_mine habitation partly_cloudy primary road water, artisinal_mine partly_cloudy primary water
train_29743, bare_ground blooming clear cultivation partly_cloudy slash_burn, blooming clear primary
train_3207, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_2875, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture habitation partly_cloudy primary road
train_1441, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_974, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear primary road water
train_27352, bare_ground blooming clear conventional_mine cultivation partly_cloudy slash_burn, blooming clear cultivation primary
train_4038, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
train_244, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear primary
train_10925, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, bare_ground clear road
train_3265, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_3796, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_26012, bare_ground blooming blow_down clear cultivation habitation primary selective_logging slash_burn water, artisinal_mine clear primary water
train_1469, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_3316, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_800, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture haze primary
train_3344, blooming blow_down cloudy cultivation habitation haze partly_cloudy primary road selective_logging, haze primary
train_28500, bare_ground blooming clear partly_cloudy primary, clear cultivation primary road selective_logging
train_762, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear habitation primary road
train_1166, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear primary water
train_2435, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture cultivation partly_cloudy primary
train_1237, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary road
train_10924, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, bare_ground clear primary selective_logging slash_burn water
train_12563, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn water, artisinal_mine bare_ground clear cultivation primary water
train_2250, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation primary water
train_229, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_1266, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture partly_cloudy primary
train_28268, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, blooming clear primary
train_25480, blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, blooming clear primary
train_29964, blooming clear cultivation partly_cloudy primary selective_logging, blooming clear primary
train_322, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, clear primary road water
train_26391, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, blooming partly_cloudy primary
train_1317, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_26245, artisinal_mine bare_ground blooming clear cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary road water
train_701, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary water
train_4717, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_231, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_31790, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, clear primary road selective_logging
train_27999, artisinal_mine bare_ground blooming clear cloudy conventional_mine habitation partly_cloudy road water, artisinal_mine clear primary water
train_4263, bare_ground blooming blow_down cloudy cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_1176, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_1179, blooming blow_down clear cultivation habitation primary road selective_logging, partly_cloudy primary road
train_27247, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, artisinal_mine partly_cloudy primary water
train_324, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary water
train_786, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary
train_3577, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_29099, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine habitation partly_cloudy road selective_logging water, artisinal_mine clear primary
train_26869, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_31149, bare_ground blooming clear conventional_mine cultivation partly_cloudy selective_logging slash_burn water, blooming clear primary
train_246, bare_ground blooming clear partly_cloudy, clear primary
train_1108, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road
train_4258, bare_ground blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_1240, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_31137, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, clear primary selective_logging
train_31305, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary road water
train_1384, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture haze primary water
train_1247, blooming clear cultivation partly_cloudy primary selective_logging water, partly_cloudy primary water
train_1012, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear cultivation primary road water
train_802, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, agriculture clear cultivation habitation primary
train_222, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear cultivation habitation primary road water
train_3259, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, haze primary
train_858, bare_ground blooming blow_down clear conventional_mine haze partly_cloudy slash_burn, agriculture clear primary road
train_304, bare_ground blooming blow_down clear cloudy cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear primary
train_24592, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, clear primary selective_logging
train_1016, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, clear primary road
train_3146, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, haze primary
train_250, blooming clear partly_cloudy primary, clear primary
train_349, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary
train_851, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn, agriculture clear cultivation primary road
train_2438, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture clear habitation primary road
train_12082, blooming clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, bare_ground clear primary
train_2798, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, clear habitation primary road water
train_24901, bare_ground blooming blow_down clear conventional_mine cultivation partly_cloudy selective_logging slash_burn, clear primary selective_logging
train_2155, artisinal_mine bare_ground blooming clear conventional_mine cultivation habitation primary road water, agriculture clear cultivation primary
train_4334, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_28456, bare_ground blooming clear cultivation haze partly_cloudy slash_burn, clear primary selective_logging
train_1177, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, partly_cloudy primary
train_2054, bare_ground blooming clear partly_cloudy primary, agriculture clear cultivation primary
train_316, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary
train_1287, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary road
train_1101, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear water
train_28541, bare_ground blooming clear haze partly_cloudy primary, agriculture cultivation partly_cloudy primary road selective_logging
train_1389, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary road water
train_11580, artisinal_mine bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground clear primary water
train_29746, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, clear primary selective_logging
train_3216, artisinal_mine bare_ground blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, haze primary
train_4641, clear primary, cloudy
train_1054, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_1440, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, partly_cloudy primary
train_1094, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture cultivation partly_cloudy primary
train_856, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture partly_cloudy primary
train_770, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary road
train_269, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, clear primary
train_30196, bare_ground blooming clear partly_cloudy primary slash_burn, clear primary selective_logging water
train_230, bare_ground blooming conventional_mine cultivation habitation partly_cloudy primary road water, agriculture bare_ground habitation partly_cloudy primary road
train_3009, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road
train_24568, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear cultivation primary road selective_logging
train_11731, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground clear primary
train_2339, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_1165, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary road water
train_3645, artisinal_mine blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_256, bare_ground blooming clear partly_cloudy primary, agriculture clear cultivation primary
train_26163, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, blooming clear primary
train_4488, artisinal_mine bare_ground blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, cloudy
train_3423, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, haze primary
train_3268, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture haze primary
train_866, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear habitation primary road
train_26945, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, artisinal_mine bare_ground clear water
train_739, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear habitation primary
train_26628, artisinal_mine bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary water
train_1264, bare_ground blooming blow_down clear conventional_mine cultivation habitation haze primary road, partly_cloudy primary
train_299, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary
train_29942, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, clear primary road selective_logging
train_2807, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, agriculture clear habitation primary road water
train_27057, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_2436, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear cultivation habitation primary road
train_1159, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear cultivation primary road
train_245, bare_ground blooming clear conventional_mine cultivation partly_cloudy selective_logging slash_burn water, blooming clear primary
train_241, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture haze primary road
train_30675, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn, clear primary road selective_logging
train_4534, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_1173, bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_2143, bare_ground blooming clear partly_cloudy primary, agriculture clear cultivation primary water
train_295, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, clear primary water
train_4303, blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_2820, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear habitation primary road
train_26135, bare_ground blooming blow_down clear cultivation habitation primary selective_logging, blooming clear primary
train_957, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear habitation primary road
train_11102, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear water
train_25075, agriculture blooming clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary water
train_27687, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture artisinal_mine clear primary
train_26578, blooming clear conventional_mine cultivation habitation primary selective_logging slash_burn water, artisinal_mine clear primary road
train_4834, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
train_2452, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary
train_10423, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground clear habitation primary water
train_1239, agriculture artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary
train_333, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear primary road
train_1419, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, clear primary road water
train_1110, bare_ground blooming clear partly_cloudy primary, partly_cloudy primary
train_291, bare_ground blooming clear conventional_mine haze partly_cloudy slash_burn, agriculture clear primary road
train_4603, artisinal_mine blooming cloudy conventional_mine habitation haze partly_cloudy road water, cloudy
train_30802, bare_ground blooming blow_down clear conventional_mine cultivation partly_cloudy selective_logging slash_burn water, clear primary road selective_logging
train_10295, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture bare_ground clear primary road
train_2472, bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_25874, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, artisinal_mine clear primary water
train_280, bare_ground blooming clear partly_cloudy primary, partly_cloudy primary
train_25051, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary water
train_3452, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_355, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary
train_3922, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, cloudy
train_1141, agriculture bare_ground blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn water, clear primary water
train_2765, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_1216, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn water, clear primary water
train_39391, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, agriculture bare_ground clear cultivation primary slash_burn
train_3932, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine haze partly_cloudy selective_logging water, cloudy
train_362, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, clear primary water
train_11246, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear
train_2060, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation habitation primary water
train_725, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture habitation partly_cloudy primary
train_30337, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, blooming clear primary
train_1129, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture cultivation partly_cloudy primary road
train_223, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary
train_319, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn, bare_ground clear road
train_1195, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear habitation primary road
train_24746, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine haze primary water
train_721, agriculture artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, agriculture partly_cloudy primary road
train_4026, bare_ground blooming blow_down cloudy cultivation habitation haze partly_cloudy primary road selective_logging, cloudy
train_253, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road
train_26095, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary water
train_247, blooming clear partly_cloudy primary, agriculture clear cultivation habitation primary road selective_logging
train_4809, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_24776, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary water
train_27711, bare_ground blooming clear partly_cloudy primary, clear primary selective_logging
train_4116, blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging, cloudy
train_30867, bare_ground blooming conventional_mine cultivation habitation primary selective_logging slash_burn water, artisinal_mine clear primary water
train_3263, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, haze primary
train_263, blooming clear cultivation partly_cloudy primary slash_burn, agriculture clear primary
train_2213, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear cultivation primary road
train_4758, blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_2071, bare_ground blooming clear partly_cloudy primary, agriculture clear cultivation primary
train_28418, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary road selective_logging
train_2217, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_1034, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation primary road
train_24483, bare_ground blooming clear cloudy conventional_mine cultivation haze partly_cloudy selective_logging slash_burn water, clear primary road selective_logging
train_3630, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, haze primary
train_1117, bare_ground blooming clear haze partly_cloudy, agriculture clear cultivation primary road water
train_876, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear cultivation primary
train_264, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary
train_715, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary road water
train_25199, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary water
train_2881, bare_ground blooming blow_down clear cultivation habitation primary selective_logging slash_burn, agriculture habitation partly_cloudy primary
train_826, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture partly_cloudy primary road
train_3835, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
train_2073, bare_ground blooming clear cultivation partly_cloudy slash_burn, agriculture clear cultivation primary
train_258, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear habitation primary road
train_2270, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn, clear cultivation habitation primary road
train_335, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary
train_27228, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn water, clear primary selective_logging
train_303, blooming clear partly_cloudy primary, agriculture clear primary
train_370, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear habitation primary road
train_1066, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, agriculture clear cultivation primary water
train_4470, blooming cloudy, cloudy
train_12139, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, bare_ground clear primary road water
train_2130, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation primary road
train_4359, bare_ground blooming cloudy, cloudy
train_25641, bare_ground blooming clear partly_cloudy primary, clear primary road selective_logging
train_233, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary water
